# time_ps avg_interchain_contacts
30000.000000 57.9055157260
30200.000000 58.4952749942
30400.000000 57.5755197236
30600.000000 56.4112382618
30800.000000 56.7709679576
31000.000000 56.3365369497
31200.000000 55.5670729186
31400.000000 55.3972479923
31600.000000 55.8137345411
31800.000000 55.9164400729
32000.000000 56.7697562608
32200.000000 56.7555410461
32400.000000 56.3874143655
32600.000000 55.0637043290
32800.000000 55.6083652819
33000.000000 54.8294528392
33200.000000 55.1724999303
33400.000000 57.0908115409
33600.000000 56.1641309163
33800.000000 57.2154507609
34000.000000 57.4296473038
34200.000000 57.5110170349
34400.000000 55.5622965182
34600.000000 56.8259722699
34800.000000 56.7119251138
35000.000000 58.3081395296
35200.000000 57.4348585535
35400.000000 56.2709014010
35600.000000 56.5090156870
35800.000000 56.4381821174
36000.000000 57.0539355814
36200.000000 56.1330393151
36400.000000 54.8231749960
36600.000000 55.1267907791
36800.000000 54.4782940506
37000.000000 55.3368629167
37200.000000 54.3605056864
37400.000000 56.0183498767
37600.000000 56.0655079978
37800.000000 56.2346643176
38000.000000 57.0730612298
38200.000000 56.6111974156
38400.000000 56.3354819005
38600.000000 56.4485450979
38800.000000 56.9799607961
39000.000000 55.4110850598
39200.000000 56.7154016765
39400.000000 57.4520678927
39600.000000 56.4710969244
39800.000000 56.5755024208
40000.000000 56.3237894500
40200.000000 56.8378753281
40400.000000 56.6402735968
40600.000000 58.2622240604
40800.000000 58.3500939574
41000.000000 57.4740642964
41200.000000 56.6016318404
41400.000000 57.1712540486
41600.000000 57.3946819543
41800.000000 57.8638672021
42000.000000 57.9692408292
42200.000000 57.8047096197
42400.000000 58.1987294613
42600.000000 57.3919446186
42800.000000 59.1724443162
43000.000000 59.5406889476
43200.000000 59.8045186716
43400.000000 59.6882126617
43600.000000 58.9918281636
43800.000000 58.0186265937
44000.000000 59.1906812493
44200.000000 59.0812911844
44400.000000 59.7415036553
44600.000000 58.4662242276
44800.000000 59.3024049108
45000.000000 60.1003790727
45200.000000 59.8616368418
45400.000000 59.8241689853
45600.000000 60.1785051986
45800.000000 60.1639970761
46000.000000 61.6498119664
46200.000000 63.3003841923
46400.000000 62.6613545624
46600.000000 62.7348216503
46800.000000 62.8846536780
47000.000000 63.9407431134
47200.000000 63.3587535753
47400.000000 63.1000130572
47600.000000 61.9237021324
47800.000000 62.4904565665
48000.000000 64.7348432331
48200.000000 64.8885250343
48400.000000 63.2692889809
48600.000000 62.3212261351
48800.000000 61.2698353093
49000.000000 61.1249539866
49200.000000 61.1857830496
49400.000000 63.1802842641
49600.000000 63.1347347722
49800.000000 61.3117293069
50000.000000 60.4990703175
50200.000000 59.1702053562
50400.000000 59.4867716066
50600.000000 57.7349413025
50800.000000 57.4063444613
51000.000000 58.1810757268
51200.000000 57.9839895124
51400.000000 59.8128908796
51600.000000 58.8765183041
51800.000000 59.1406156907
52000.000000 58.9473678894
52200.000000 59.4178271680
52400.000000 58.5724601637
52600.000000 57.8320402355
52800.000000 58.2836162396
53000.000000 57.3648885376
53200.000000 57.5105943744
53400.000000 58.5854680052
53600.000000 57.6648950438
53800.000000 56.9083838725
54000.000000 54.8307976705
54200.000000 55.8486908816
54400.000000 56.2718655737
54600.000000 56.4392450545
54800.000000 56.4282088108
55000.000000 56.3256409741
55200.000000 57.2574415056
55400.000000 56.2006021871
55600.000000 57.4077576744
55800.000000 58.0218460578
56000.000000 59.1016416506
56200.000000 56.7828515741
56400.000000 56.8417660897
56600.000000 55.4885215905
56800.000000 55.0913080979
57000.000000 54.1217409106
57200.000000 54.8966359007
57400.000000 55.6418484478
57600.000000 54.5733665665
57800.000000 56.5020024275
58000.000000 56.4900583261
58200.000000 55.8895986653
58400.000000 56.6551472189
58600.000000 56.0046002440
58800.000000 56.0623286477
59000.000000 56.5732910420
59200.000000 57.5231296650
59400.000000 56.4265156651
59600.000000 56.7374057291
59800.000000 56.3347696773
60000.000000 57.9537029904
60200.000000 57.7148995455
60400.000000 56.5499751789
60600.000000 56.2599458204
60800.000000 57.1274348402
61000.000000 57.7258410955
61200.000000 55.5180649932
61400.000000 56.9954743986
61600.000000 56.4430336137
61800.000000 55.0948818111
62000.000000 54.9873850937
62200.000000 55.0706854872
62400.000000 57.2029369244
62600.000000 57.5644510356
62800.000000 57.5483354321
63000.000000 56.9895460549
63200.000000 57.2427796592
63400.000000 58.5565461536
63600.000000 56.8972931687
63800.000000 58.2787409563
64000.000000 58.1167776652
64200.000000 57.6362896853
64400.000000 56.9580879537
64600.000000 56.4633271804
64800.000000 57.9502077645
65000.000000 56.6733969198
65200.000000 56.3100913427
65400.000000 57.3314609537
65600.000000 57.5260163802
65800.000000 56.8293654442
66000.000000 57.6642267679
66200.000000 58.0749263382
66400.000000 58.0917521200
66600.000000 57.1233373257
66800.000000 56.9591113545
67000.000000 56.9963201066
67200.000000 56.7908048386
67400.000000 56.1750862963
67600.000000 57.4514931350
67800.000000 57.8379560857
68000.000000 57.1203695563
68200.000000 57.5824187680
68400.000000 57.9788818448
68600.000000 55.4296755312
68800.000000 56.0171856231
69000.000000 54.7015235057
69200.000000 53.6959201469
69400.000000 53.7877458251
69600.000000 54.4857330889
69800.000000 52.7310185747
70000.000000 52.5826557810
70200.000000 52.6853113587
70400.000000 54.9423233694
70600.000000 55.3794831681
70800.000000 55.1968399944
71000.000000 56.0213654520
71200.000000 54.2069729681
71400.000000 54.5100373321
71600.000000 55.3729351804
71800.000000 56.6832618218
72000.000000 58.3062540508
72200.000000 57.2370542996
72400.000000 59.4736839018
72600.000000 58.3754278831
72800.000000 58.3518607658
73000.000000 56.9321329774
73200.000000 57.0791554300
73400.000000 57.8232264458
73600.000000 57.3351912470
73800.000000 57.6119195310
74000.000000 57.6577121260
74200.000000 55.5379705429
74400.000000 56.1595945543
74600.000000 57.1822901050
74800.000000 58.5424033774
75000.000000 57.2069085159
75200.000000 57.8259498898
75400.000000 57.2957564419
75600.000000 57.3106163259
75800.000000 57.0704810118
76000.000000 57.7284336362
76200.000000 58.6484760992
76400.000000 58.2623549125
76600.000000 57.8962722769
76800.000000 57.3399489190
77000.000000 57.6346225533
77200.000000 56.9701687817
77400.000000 56.6933185953
77600.000000 55.9938886141
77800.000000 55.4879498318
78000.000000 55.9442320207
78200.000000 54.0653334662
78400.000000 55.3052342311
78600.000000 54.6515151687
78800.000000 54.9564779662
79000.000000 55.9906686859
79200.000000 57.4283128746
79400.000000 56.5684542824
79600.000000 56.1800023261
79800.000000 56.1240052533
80000.000000 56.0198382173
80200.000000 56.3052500575
80400.000000 56.2264868657
80600.000000 57.6691504520
80800.000000 58.1998479033
81000.000000 57.6815549247
81200.000000 56.4025418889
81400.000000 54.6174810616
81600.000000 55.5031881218
81800.000000 54.6268861294
82000.000000 54.6913734673
82200.000000 54.6964244652
82400.000000 56.5617587100
82600.000000 55.5073326147
82800.000000 55.5157815171
83000.000000 56.1686574530
83200.000000 55.0507798674
83400.000000 55.2754327253
83600.000000 56.0239233355
83800.000000 56.2207918552
84000.000000 56.7123626147
84200.000000 55.2498737479
84400.000000 55.6611428613
84600.000000 55.0235508191
84800.000000 56.7780678171
85000.000000 57.6565039540
85200.000000 57.2514362588
85400.000000 57.5401721532
85600.000000 55.4496132317
85800.000000 55.5446475702
86000.000000 55.3715282124
86200.000000 55.6503692991
86400.000000 57.1092878979
86600.000000 56.6761674402
86800.000000 56.4223899002
87000.000000 55.3235519679
87200.000000 53.2036188762
87400.000000 53.4758353378
87600.000000 53.9368051209
87800.000000 53.5140095749
88000.000000 53.4596808753
88200.000000 52.9760236084
88400.000000 53.1882873846
88600.000000 53.8371524573
88800.000000 51.7789419232
89000.000000 50.7230881852
89200.000000 50.8715991905
89400.000000 49.9327399894
89600.000000 50.5032268989
89800.000000 52.2490551873
90000.000000 52.0112592872
90200.000000 54.4324336425
90400.000000 53.3486735264
90600.000000 53.2800789868
90800.000000 53.0558731470
91000.000000 53.3300244377
91200.000000 52.8246208837
91400.000000 53.1547351229
