time_ps,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,frag10,frag11,frag12,frag13,frag14,frag15,frag16,frag17,frag18,frag19,frag20,frag21,frag22,frag23,frag24,frag25,frag26,frag27,frag28,frag29,frag30,frag31,frag32,frag33,frag34,frag35,frag36,frag37,frag38,frag39,frag40,frag41,frag42
2000.000000,79.3725343756,76.6284095531,91.4617495678,93.6807650650,65.0137120130,81.4375544771,99.7759102483,85.3553553552,72.9557847916,96.9178119081,90.6413993080,114.5172087004,83.1548687538,118.1916764626,64.0224302847,90.5435603637,73.8912272799,67.7935059606,108.2720052343,89.7673482821,73.8550822566,82.4355830795,64.5379413501,81.8750105831,89.1296799402,91.2555506597,103.5239474010,98.3097882458,78.0670929964,113.1481561654,134.9818199603,104.9541327432,56.3611090462,95.7954775187,101.6615493317,69.5404228034,82.2008892959,71.6032489197,82.5794202410,81.3157950591,62.4966740879,86.6045334634
2200.000000,75.6120503160,96.7264348859,95.9035434725,97.1886839144,78.3772624577,85.8865145433,103.2858351523,95.7129696252,85.5511970029,89.2479462593,84.9887793625,118.0692733980,82.0762985259,117.7554531438,56.4037235338,88.3770250330,72.9002056102,73.2510812573,109.6213057082,84.2252954316,71.2045667699,78.0310872377,78.5564475014,75.7724886456,87.6402663228,87.8002511356,88.7798256809,103.3851613083,68.6087312672,110.5632613195,132.9109472788,102.3656224545,61.9851394476,102.6709222188,107.0080335307,68.8120088212,81.0229952517,62.6288406910,81.2808214545,83.8649989233,69.7705832043,95.4418775627
2400.000000,87.2961716406,87.6740053140,100.9662585311,85.2618284326,65.1231408876,96.2377319778,108.1537754379,81.2708582504,82.1694036107,89.8372385924,88.9050909593,113.2307927620,99.4071892809,111.7480293725,54.9297868463,86.9431539085,58.5059557012,66.2463734816,107.0646005315,82.4483779147,85.1817034818,80.8208072590,72.0633087149,68.6566243432,84.5396372032,88.5220624916,90.5907810353,109.0851410921,52.0156798008,111.0730994601,145.6118135104,109.7749929137,57.9930556322,102.1283032702,96.2370923769,60.3371397106,87.2822610314,74.3399490028,86.2032960367,71.3827485461,78.9252766046,87.4024533408
2600.000000,83.6502249411,81.9953897161,106.1202892644,88.7891235868,66.5223893972,93.0868223125,102.2074726374,92.7601403819,77.8529512173,83.1290490635,89.7937343532,116.7170387530,88.1866957082,105.1919811514,53.2909494605,86.8034414214,74.6780915880,67.1817743913,108.2731024958,88.6257571762,82.4916185636,69.1010168815,64.7671645853,63.4368228567,90.3429940534,88.9618219104,96.6547598241,100.1400857731,57.5374317041,105.7691270774,128.9973867169,102.5242652153,62.7318548408,106.5823873959,90.9250443928,73.0241303769,92.2685506215,72.2504681207,72.7612576580,64.4488241560,81.3345209241,91.0963270788
2800.000000,86.8758131225,59.4238433172,103.2643630433,87.1551218813,58.6920509707,92.2907093274,98.7070428851,84.3808925548,77.8584172315,80.5740361078,77.8179201810,109.8794896548,85.8445971316,102.9401204554,60.7413373022,90.1694695489,68.3120938383,59.5697634843,106.3253802236,86.4488989963,79.1077868585,71.2978078564,69.4638908001,71.4691444342,97.1102102926,87.6269871637,75.5124627303,99.4309034340,64.5449350866,104.4964384073,121.8131290857,115.3204690540,65.1754577750,107.5265145731,99.1610267273,73.8643140241,88.9430712658,80.8030031809,72.3417966311,62.5166816409,79.8397304410,97.1442998078
3000.000000,80.8301640974,73.5342203351,101.7770396891,89.3679625387,59.6286430845,84.8018052514,98.7945608710,89.1968477092,89.1533956568,85.7162019336,87.9065721659,115.9051901447,89.7992266072,100.2989536684,65.5917538087,97.9639269971,73.6465473000,59.3795531961,113.7470529198,82.6325293070,80.8877083365,70.7703785366,73.4028552525,71.7370598219,90.9126686078,100.0745432116,77.2063642452,92.8535267668,60.7952421704,102.2427568038,127.4684432754,109.0259067252,57.9055603251,118.5065575688,89.7358420037,51.2810109337,89.0118895981,70.4854155318,69.7935844011,64.5154901642,70.0698700095,95.8770141482
3200.000000,96.8594672858,63.8405264882,90.4340595848,96.3921482473,60.0744325640,104.9668073704,96.7918069628,83.2860569213,74.9932827998,82.1383036019,98.0552633286,108.0109144727,74.0589818791,104.6464236231,70.2084742172,91.3076722166,77.3007071474,58.5898535162,124.7229652503,83.5979751722,88.0503637470,77.2379056396,73.5451410813,73.2058941471,88.2686521645,109.7893350151,71.7706901689,93.4891182185,67.0053276125,106.9095572899,131.8250299766,112.0957656475,53.8283916048,114.6060184065,96.5472070781,50.1198787141,92.7703938725,62.6263791536,82.2477713133,56.5506890151,64.4881440595,106.3057217499
3400.000000,91.9372545033,56.8214776005,104.0431330723,68.7537551494,55.4983990849,109.5182372029,115.4361274311,94.8214136458,64.5055071683,82.7889130433,81.4079654840,122.3771872069,84.5103190619,108.5659807766,60.6746694565,87.7994915545,72.6443571675,59.2571945091,129.1406523121,87.5330949827,92.6402991816,86.2520477451,79.9883684692,65.6428762558,78.1514809279,105.0483869078,79.5263232207,110.2610251820,58.1245749115,98.9169002492,128.0543825580,106.7298447230,55.8744579604,118.8083383850,89.8928530976,47.7343532688,95.8772515300,57.7881767507,68.4704499523,55.6773249518,63.0452944341,98.2682478067
3600.000000,100.1078189344,48.6386770559,100.3647893336,78.0112688767,50.8910558443,112.2983399384,123.9810236589,88.8699242921,79.4936726865,82.6494930221,72.1404259008,104.1183632746,88.9903444757,95.7153806944,59.6569576569,89.6937050940,67.9706036689,56.0317164205,123.0267149519,81.6635648565,83.0740397785,73.1287157290,78.2860839635,72.5810297880,77.4310334658,95.1803516139,80.1914056489,99.5563043340,64.6851745126,102.5750903065,132.6179037698,103.4348481979,62.8332189546,119.7191553961,83.6608586671,44.0277723037,95.6888301526,54.1994707438,77.9872665457,64.1680673846,75.0404273587,108.4781970440
3800.000000,77.5070653466,52.5555133086,104.4113964801,91.3547708265,67.5103392759,117.3160011186,107.3589882894,103.9674612743,84.3061844696,77.2053078053,67.0870487771,114.4282212320,87.9069407185,111.7346857800,58.3368433123,86.1069404016,57.8288210063,56.8792994207,117.1621668891,94.1428740659,71.5765074933,64.7556052016,76.1804223382,66.7026210107,91.3269826003,87.1408839432,77.5484017156,91.8321409715,63.0599799778,92.9136138956,131.5343506123,101.6914898833,64.9995033611,112.6340672091,90.0273980142,46.8155612331,97.0696352008,69.6407662694,87.6212421106,71.0875684914,68.2113385456,88.3952284489
