# time_ps avg_intrachain_contacts
0.000000 87.1208734495
200.000000 85.1690749391
400.000000 85.5216481408
600.000000 86.4191429554
800.000000 85.4650729573
1000.000000 87.8325109431
1200.000000 85.5996742696
1400.000000 87.1076776782
1600.000000 86.6365589309
1800.000000 85.7622396501
2000.000000 86.8958981698
2200.000000 87.8872799205
2400.000000 86.9901664355
2600.000000 86.0239114225
2800.000000 84.8043195840
3000.000000 85.1007579933
3200.000000 86.0371309125
3400.000000 85.2097235448
3600.000000 84.5918830071
3800.000000 84.4731471030
4000.000000 84.1203735512
4200.000000 86.9575225049
4400.000000 83.9110833417
4600.000000 83.1212623852
4800.000000 83.4486353604
5000.000000 83.8293752484
5200.000000 80.2183635510
5400.000000 81.0900695049
5600.000000 79.4097367642
5800.000000 80.3943357724
6000.000000 79.7147454975
6200.000000 80.9841409142
6400.000000 80.3905072019
6600.000000 80.5835064345
6800.000000 79.9304260576
7000.000000 79.3246545737
7200.000000 78.3276955477
7400.000000 80.2409637615
7600.000000 79.8036699041
7800.000000 79.6646010104
8000.000000 79.3843653786
8200.000000 78.8536638241
8400.000000 80.1237050243
8600.000000 79.1618734524
8800.000000 79.1206711505
9000.000000 79.2340733271
9200.000000 78.1159949433
9400.000000 77.6428862417
9600.000000 75.7566785928
9800.000000 75.0529511697
10000.000000 76.0230964604
10200.000000 75.2489668845
10400.000000 77.5659050172
10600.000000 77.2635167627
10800.000000 78.0764811441
11000.000000 76.2252229685
11200.000000 76.2640466537
11400.000000 76.5125677026
11600.000000 78.7748644994
11800.000000 79.9186191557
12000.000000 79.6336070441
12200.000000 79.0749284715
12400.000000 79.5509438131
12600.000000 77.9751914280
12800.000000 79.5395903773
13000.000000 77.6965584324
13200.000000 78.1965089883
13400.000000 75.7834482141
13600.000000 74.3342792486
13800.000000 75.9311587215
14000.000000 76.4529322536
14200.000000 77.7279374994
14400.000000 77.6134170478
14600.000000 77.9034143933
14800.000000 79.2172099868
15000.000000 78.7184543301
15200.000000 77.9070983042
15400.000000 79.6661355341
15600.000000 80.7006150292
15800.000000 79.3792032972
16000.000000 81.6275320946
16200.000000 80.4533765443
16400.000000 80.4971384637
16600.000000 79.1695679830
16800.000000 79.7453708047
17000.000000 80.6929869135
17200.000000 80.2465583946
17400.000000 78.3024536616
17600.000000 76.3492829872
17800.000000 77.4434871291
18000.000000 76.2019198232
18200.000000 77.4827543239
18400.000000 78.7185592520
18600.000000 78.3642210774
18800.000000 80.5044895345
19000.000000 81.2985585384
19200.000000 80.7676272683
19400.000000 80.6246462212
19600.000000 78.9630790743
19800.000000 77.6724654694
20000.000000 76.5159222305
20200.000000 76.9935552426
20400.000000 77.9655494796
20600.000000 77.0441461087
20800.000000 76.0547039507
21000.000000 75.2242499273
21200.000000 74.7070917994
21400.000000 76.7380598580
21600.000000 75.3986119590
21800.000000 75.7320664633
22000.000000 76.2221551472
22200.000000 77.7178733334
22400.000000 80.0508683210
22600.000000 80.2856577910
22800.000000 81.0836677544
23000.000000 79.2429738002
23200.000000 80.0678590616
23400.000000 81.0028989090
23600.000000 82.0056355517
23800.000000 80.1003801304
24000.000000 81.0728257531
24200.000000 79.7872333444
24400.000000 79.1034262569
24600.000000 78.5427378023
24800.000000 78.5211834822
25000.000000 78.4336379951
25200.000000 77.3692208215
25400.000000 78.6489053258
25600.000000 80.0018784069
25800.000000 78.5688011990
26000.000000 79.5698270153
26200.000000 80.0738692536
26400.000000 79.0278512381
26600.000000 78.7394236182
26800.000000 79.2318352055
27000.000000 77.7305673638
27200.000000 78.6821594658
27400.000000 78.7332073280
27600.000000 78.4133223667
27800.000000 79.1521080501
28000.000000 77.8320578279
28200.000000 79.4797598590
28400.000000 77.7190664103
28600.000000 77.2576054895
28800.000000 76.9664641739
29000.000000 76.8040407477
29200.000000 78.0245928160
29400.000000 77.6662756714
29600.000000 77.4439543255
29800.000000 78.1636388575
30000.000000 77.1486904408
30200.000000 76.9456137357
30400.000000 75.6884964584
30600.000000 74.2915875642
30800.000000 76.4387370023
31000.000000 76.3174130649
31200.000000 75.9244650929
31400.000000 75.4799257862
31600.000000 77.3143121818
31800.000000 78.5987132120
32000.000000 77.7586091851
32200.000000 76.9682858636
32400.000000 78.0443075649
32600.000000 78.3188825380
32800.000000 77.4971438255
33000.000000 77.7031033956
33200.000000 78.9787848200
33400.000000 79.3540172505
33600.000000 80.1782482009
33800.000000 77.7203950406
34000.000000 77.9223078739
34200.000000 79.9858670079
34400.000000 80.2140550500
34600.000000 78.4527359601
34800.000000 77.7680025486
35000.000000 76.6484302713
35200.000000 77.1985471144
35400.000000 78.0978923498
35600.000000 76.7586972695
35800.000000 76.4151630207
36000.000000 77.5155924262
36200.000000 77.3317586285
36400.000000 76.4331087010
36600.000000 77.3833233468
36800.000000 78.0693947607
37000.000000 79.5821128147
37200.000000 79.0674255765
37400.000000 79.1690060175
37600.000000 79.8237550115
37800.000000 78.6858539399
38000.000000 79.5117447156
38200.000000 81.1844669131
38400.000000 80.7381975997
38600.000000 80.0486164735
38800.000000 81.5435183354
39000.000000 82.7110563244
39200.000000 81.6150597949
39400.000000 80.1334425431
39600.000000 81.7575979785
39800.000000 80.2639131761
40000.000000 80.5130809668
40200.000000 81.0452816253
40400.000000 81.8858952220
40600.000000 81.8241627924
40800.000000 82.2303498217
41000.000000 81.5023908972
41200.000000 81.2941864556
41400.000000 80.9604392918
41600.000000 82.1154706617
41800.000000 80.3967384506
42000.000000 80.9030505435
42200.000000 83.2752503975
42400.000000 82.2366628963
42600.000000 82.9994263080
42800.000000 82.6539313939
43000.000000 81.9386904468
43200.000000 80.9350218617
43400.000000 79.5394582873
43600.000000 79.5226738580
43800.000000 79.6451939402
44000.000000 81.4647562923
44200.000000 81.3388244210
44400.000000 80.7298349719
44600.000000 79.4074788196
44800.000000 81.0115796500
45000.000000 80.3575969706
45200.000000 80.3808383795
45400.000000 80.4627561137
45600.000000 80.4400338631
45800.000000 78.7831149498
46000.000000 80.3832883903
46200.000000 81.3518338674
46400.000000 81.6088280920
46600.000000 80.9574063473
46800.000000 79.7322527632
47000.000000 80.7757380667
47200.000000 80.8666829009
47400.000000 78.7438115489
47600.000000 79.1465175085
47800.000000 78.9719863956
48000.000000 77.9651156854
48200.000000 78.2467938658
48400.000000 77.9260790424
48600.000000 80.4950511568
48800.000000 80.7426579657
49000.000000 79.8309042029
49200.000000 78.8848653582
49400.000000 79.7819059627
49600.000000 79.4729962214
49800.000000 82.8246603344
50000.000000 81.9143855100
50200.000000 82.4247521571
50400.000000 82.7838940865
50600.000000 80.6352344140
50800.000000 83.0234691387
51000.000000 81.9042141735
51200.000000 82.1065860195
51400.000000 82.2222146068
51600.000000 82.8631321799
51800.000000 82.6704261814
52000.000000 84.8035975508
52200.000000 82.7693048170
52400.000000 81.5390706621
52600.000000 81.3253501440
52800.000000 81.9587130936
53000.000000 81.0255799727
53200.000000 81.7297003182
53400.000000 80.6833320267
53600.000000 82.0909849951
53800.000000 81.5648297184
54000.000000 81.2063965381
54200.000000 82.7998013751
54400.000000 83.3491047592
54600.000000 81.7298445473
54800.000000 82.3313376221
55000.000000 82.9473852796
55200.000000 81.8826319627
55400.000000 83.4344969332
55600.000000 80.3122828963
55800.000000 79.6432401260
56000.000000 79.2675463596
56200.000000 80.1816613485
56400.000000 78.8395684453
56600.000000 79.8059534707
56800.000000 80.3211029304
57000.000000 79.0450688293
57200.000000 76.7097428478
57400.000000 79.6899496917
57600.000000 79.1887429801
57800.000000 82.1536654905
58000.000000 81.5856743888
58200.000000 81.7293344509
58400.000000 80.3480739678
58600.000000 81.9094906361
58800.000000 81.6620187022
59000.000000 80.8914912194
59200.000000 80.9708674880
59400.000000 81.1259930686
59600.000000 81.1628954447
59800.000000 79.6646711667
60000.000000 79.1351622181
60200.000000 77.9650462376
60400.000000 80.2052245995
60600.000000 79.7165583378
60800.000000 80.4358092665
61000.000000 78.9274904349
61200.000000 80.4587128746
61400.000000 79.7989858856
61600.000000 78.7347461772
61800.000000 79.4190545634
62000.000000 81.6484236493
62200.000000 80.3346179858
62400.000000 79.2299941115
62600.000000 77.9698936747
62800.000000 79.4376969898
63000.000000 80.0175779283
63200.000000 78.7270066095
63400.000000 80.4498119202
63600.000000 80.4779811427
63800.000000 80.7885068967
64000.000000 78.1379099719
64200.000000 81.0718719683
64400.000000 80.3927012355
64600.000000 79.7487087838
64800.000000 78.3008216276
65000.000000 78.1977409842
65200.000000 79.1570877661
65400.000000 79.1763406708
65600.000000 79.1162699220
65800.000000 78.9261527419
66000.000000 78.8627582377
66200.000000 77.5769367248
66400.000000 77.2973388408
66600.000000 79.4848152825
66800.000000 77.3854217180
67000.000000 78.2810203224
67200.000000 77.4977500867
67400.000000 79.2323408690
67600.000000 78.8246040647
67800.000000 77.3137700677
68000.000000 78.4755756465
68200.000000 78.2886042033
68400.000000 80.0262649617
68600.000000 79.4808975179
68800.000000 80.1249007562
69000.000000 81.4917139978
69200.000000 82.7604876725
69400.000000 81.1282979623
69600.000000 81.2617885545
69800.000000 84.5941809462
70000.000000 84.7015746287
70200.000000 84.2432947124
70400.000000 82.4179388230
70600.000000 81.5844216084
70800.000000 81.8069443814
71000.000000 82.4265533813
71200.000000 80.8179898026
71400.000000 82.4325585285
71600.000000 81.5799243080
71800.000000 79.5393286708
72000.000000 80.5677862449
72200.000000 81.0552932557
72400.000000 80.1965528683
72600.000000 79.6029073161
72800.000000 80.4337698131
73000.000000 81.7310924769
73200.000000 80.1259140674
73400.000000 79.6634549494
73600.000000 79.2438549712
73800.000000 81.4071831035
74000.000000 81.4265644808
74200.000000 80.7422978657
74400.000000 80.0018832312
74600.000000 79.8404545652
74800.000000 79.1268321216
75000.000000 79.7303770157
75200.000000 78.0409365652
75400.000000 78.7322911137
75600.000000 78.6068371355
75800.000000 82.3650573238
76000.000000 81.8092770363
76200.000000 83.2404149105
76400.000000 83.3410789331
76600.000000 82.5470518813
76800.000000 82.6789061176
77000.000000 83.9337192615
77200.000000 84.3732171177
77400.000000 84.1824323922
77600.000000 84.4170483420
77800.000000 84.7272128932
