time_ps,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,frag10,frag11,frag12,frag13,frag14,frag15,frag16,frag17,frag18,frag19,frag20,frag21,frag22,frag23,frag24,frag25,frag26,frag27,frag28,frag29,frag30,frag31,frag32,frag33,frag34,frag35,frag36,frag37,frag38,frag39,frag40,frag41,frag42
2600.000000,52.3782016806,121.1308857895,116.9847685871,76.4696394627,121.3192293503,76.1847389303,68.5086314971,128.1283144766,85.0620074497,129.4178379872,139.0397693263,41.3070741056,96.3209236280,114.0041587788,163.5126020717,119.6739662783,133.0844728223,161.2188181979,57.4290569609,111.0733087532,122.6469556669,150.3025747850,150.5683016739,123.6588463561,66.0240030329,119.5777506225,47.6958448731,99.0285037992,134.2203239520,98.1834894916,59.4767653551,101.0452832737,146.7605738333,104.2388134198,92.6824520425,100.3578046498,126.5809743660,104.5357630616,132.0278185794,138.4410953193,165.3725357727,143.0170066316
2800.000000,54.5599957365,140.6894201779,116.8091331078,74.1537042902,124.1048983975,75.9470483508,71.7432095601,134.4566307957,91.8374273053,121.6226992421,139.3411131605,49.5017449673,100.4760944004,118.5959243410,178.1878320826,126.7197805668,156.5896893178,158.3767742726,50.7496422898,88.6490647715,131.7694046063,165.1392962677,145.7962607665,121.5917364089,62.6102595625,122.9331484250,47.8464958624,108.4266010724,136.4752011313,105.6337092940,61.0483749161,97.1276885842,142.6727304644,98.8733620079,84.9989570061,117.4133555387,133.7082245341,97.2812319930,141.7462458464,146.3673019548,169.0998902992,148.2826333916
3000.000000,57.2217234489,129.4332047811,133.3818220979,79.9690187455,127.3091172769,67.1412220921,77.2757466561,130.2094655550,89.3009069179,119.9943599606,124.6714956135,51.6288946316,85.4246464496,101.4816615503,189.8649592188,120.4745617095,148.1590012005,158.8061537115,44.2990834080,105.3997278827,137.2156581300,157.1319219316,135.8735519177,116.3744913636,63.4522170885,108.5512601095,56.1800394191,97.8808471131,140.7553027437,118.8927489285,57.9290358525,104.4000104892,144.1727472869,107.6585269190,85.1136706424,115.5694253229,123.3410813748,103.3867753036,134.6980631356,162.0807334318,176.2648112381,143.0096046082
3200.000000,48.7413289596,101.3803541185,128.8229679210,87.7119307766,130.3510988801,67.0085715748,74.3688973543,130.3063479208,86.6258720880,116.4192164236,117.6439286781,57.8016461351,81.2836086906,94.0155601746,174.7349784315,119.8531936618,160.2627051767,174.6550221172,48.1879635850,93.0838805037,146.3979776952,160.9315849176,143.7030705836,115.1639887411,65.6869467033,123.5775287942,53.8789365374,92.3164121336,141.9906602994,115.1813428937,63.8887485037,100.5113702886,155.5042259349,99.1699358119,84.3786048499,122.4310738636,124.7411063465,107.4908977242,116.2361459635,157.2891539310,184.9279484032,129.5582710384
3400.000000,42.1721098821,112.1922523554,143.4805637264,79.7455644464,138.6649152293,76.0617087096,74.7625469843,133.3686996985,89.1705193670,115.3252260193,144.3318333280,48.6445590128,90.8216460624,99.3781866189,172.7601812371,125.9127220374,159.8402090215,165.9577443665,60.6269893327,115.2484806532,142.8233220558,174.8058015968,154.5901245397,104.9830891235,60.6895884404,119.8369905828,43.7114830743,97.3147073307,150.2197535872,126.2547300203,81.2050447216,101.2101332575,163.5367156590,101.5641046861,87.8387202714,116.1527911888,132.7734666784,103.3045287305,131.8986732270,157.3363442005,178.8528996707,150.4431343602
3600.000000,32.8174802383,99.3871673390,153.5686966287,66.1691667835,137.1001048102,67.8196541147,78.1116969417,134.8691655986,86.7340377111,115.0004778840,147.3924290025,38.2261312136,94.4575256184,128.4524659537,174.6367571048,109.8063035348,159.0735951704,153.8170197435,62.7232602848,105.2630455076,144.1546017889,166.9739811067,142.1026318123,91.9690007780,55.7232960514,124.5765190329,46.5460296965,78.2115935978,158.9699012316,123.4362442985,72.9238592921,103.3987686372,183.8128335101,93.2664721507,82.5024128862,120.4509466833,126.2725585585,107.2521192660,113.0365192378,141.5335175497,155.8693633193,128.3147461970
3800.000000,41.1364942520,99.2894633258,146.8303467046,63.6415105198,133.4246439810,71.4007806104,73.1724422842,132.3335860435,85.6751704942,112.0541810462,149.6842757397,30.3493195727,91.5392988594,119.1581061414,192.1265801532,119.5301635087,153.3764392697,156.1497340412,57.4432581728,96.1260380090,129.5237257841,159.4471598916,173.3535447812,98.1243250680,51.1413719439,129.0202417594,42.4470057292,87.7720658041,151.9763330513,130.9907341461,70.7620475773,101.2866897600,173.8538793149,109.1623891935,93.8384531453,123.3979724597,125.9017986457,102.7189680088,118.2419140913,133.4297321124,160.8803255683,115.2896914378
4000.000000,48.6684127161,93.0359331938,183.3891671531,71.5262175711,136.2296454788,74.8166270030,55.5176143751,120.1900119486,103.1555768549,111.0458187643,143.6291232218,41.0932189308,97.2233272769,131.0934166039,200.7234294185,136.7907105116,143.5329504707,175.0785534959,53.6559051518,101.5383068172,135.9353981925,177.0111352841,181.5388232331,98.8810796817,60.0491510129,136.9962597459,48.6757944803,88.6511975179,147.5320702683,135.1656177013,78.7183989831,97.9446745281,207.0714892747,112.9525649032,100.3727118448,117.9544848020,126.8981824816,102.4978480020,118.0050853109,147.9480994523,168.7548741613,134.7553554160
4200.000000,44.0632626974,94.5131995801,167.2996681064,81.5848592057,127.6869885413,68.2796244590,74.6729768972,121.8932980191,105.5233065953,115.0838886444,147.2768370749,38.0172207283,101.4427314266,130.4228477248,186.7272685844,135.2765099100,156.9917981136,155.0429154797,47.7917248999,100.3290748143,138.2503769631,169.7997070761,176.1219185655,95.4910352668,64.4622078635,139.2052468161,46.5624614951,87.2387300645,138.8916594542,140.4032401311,78.1171239205,102.2905303696,210.1161908652,106.2733070654,86.2542627490,125.7630331869,121.4327798238,103.3777518564,114.1894725013,152.9016064501,165.2154118719,140.8409381034
4400.000000,52.2902940066,93.4622447506,175.4188292796,73.6526463549,122.6969038714,60.5968756033,63.8496954366,118.1491618411,104.4542454788,113.8398600258,122.3688314795,45.5428442728,109.8395064047,137.4545817238,193.6461043456,137.5014140525,154.1970127385,152.6566647481,63.8038176097,102.5647368026,129.6077805225,170.4585024330,189.6777310711,96.2609677460,78.4672806478,136.8121568631,44.7011558355,86.7226724244,133.0883632594,146.4198700015,78.6358693785,103.7907242032,193.6874027900,100.0015599871,75.7733378464,133.0841361690,107.0733446039,106.5745382476,111.6779184212,152.3280264619,171.6280241257,142.9846756408
